"","cdatetime","district","crime_level","longitude","latitude","registry_number","sum_acomulated","mean_acomulated"
"255",2006-01-02,3,4,-121.4763254,38.56502139,255,1258,4.93333333333333
"256",2006-01-02,6,4,-121.4243203,38.54783739,256,1262,4.9296875
"257",2006-01-02,3,4,-121.4061503,38.55137298,257,1266,4.92607003891051
"258",2006-01-02,1,7,-121.5192803,38.60824476,258,1273,4.93410852713178
"259",2006-01-02,6,4,-121.4591392,38.54468278,259,1277,4.93050193050193
"260",2006-01-02,6,7,-121.459316,38.54118802,260,1284,4.93846153846154
"261",2006-01-02,2,2,-121.4634451,38.62769343,261,1286,4.9272030651341
"262",2006-01-02,5,7,-121.5002604,38.47687825,262,1293,4.93511450381679
"263",2006-01-02,5,3,-121.4584554,38.48227523,263,1296,4.9277566539924
"264",2006-01-02,2,7,-121.451289,38.66254563,264,1303,4.93560606060606
"265",2006-01-02,4,6,-121.5249979,38.51484622,265,1309,4.93962264150943
"266",2006-01-02,1,6,-121.5056249,38.62743901,266,1315,4.94360902255639
"267",2006-01-02,5,1,-121.4803303,38.47663386,267,1316,4.92883895131086
"268",2006-01-02,5,3,-121.4180465,38.44973707,268,1319,4.92164179104478
"269",2006-01-02,1,3,-121.4796125,38.61880719,269,1322,4.91449814126394
"270",2006-01-02,5,5,-121.4078016,38.44803746,270,1327,4.91481481481481
"271",2006-01-02,4,7,-121.5419071,38.51042757,271,1334,4.92250922509225
"272",2006-01-02,4,7,-121.514852,38.48243228,272,1341,4.93014705882353
"273",2006-01-02,6,4,-121.4684935,38.55155803,273,1345,4.92673992673993
"274",2006-01-02,3,1,-121.48322,38.58612197,274,1346,4.91240875912409
"275",2006-01-02,2,1,-121.4306804,38.60879322,275,1347,4.89818181818182
"276",2006-01-02,3,7,-121.4814732,38.59444259,276,1354,4.90579710144928
"277",2006-01-02,4,5,-121.515322,38.48369463,277,1359,4.90613718411552
"278",2006-01-02,6,7,-121.4573325,38.5454679,278,1366,4.9136690647482
"279",2006-01-02,2,2,-121.4321298,38.64036498,279,1368,4.90322580645161
"280",2006-01-02,3,5,-121.4692575,38.57201606,280,1373,4.90357142857143
"281",2006-01-02,4,6,-121.4792852,38.55531685,281,1379,4.90747330960854
"282",2006-01-02,2,4,-121.4446434,38.6358152,282,1383,4.90425531914894
"283",2006-01-02,2,3,-121.4200242,38.59156169,283,1386,4.89752650176678
"284",2006-01-02,6,5,-121.4079133,38.53444222,284,1391,4.89788732394366
"285",2006-01-02,3,2,-121.493943,38.57920289,285,1393,4.88771929824561
"286",2006-01-02,6,1,-121.4230827,38.54867149,286,1394,4.87412587412587
"287",2006-01-02,2,5,-121.4416684,38.63482334,287,1399,4.87456445993031
"288",2006-01-02,2,6,-121.4618489,38.62073056,288,1405,4.87847222222222
"289",2006-01-02,1,2,-121.4770641,38.60930026,289,1407,4.86851211072664
"290",2006-01-02,1,7,-121.4756162,38.62630755,290,1414,4.87586206896552
"291",2006-01-02,2,6,-121.4572951,38.62073678,291,1420,4.87972508591065
"292",2006-01-02,2,4,-121.4234494,38.61538617,292,1424,4.87671232876712
"293",2006-01-02,6,6,-121.4211919,38.51364018,293,1430,4.88054607508532
"294",2006-01-02,2,8,-121.4631893,38.62866431,294,1438,4.89115646258503
"295",2006-01-02,5,5,-121.4585038,38.46252937,295,1443,4.89152542372881
"296",2006-01-02,2,3,-121.446116,38.62968232,296,1446,4.88513513513514
"297",2006-01-02,3,4,-121.4854381,38.58514056,297,1450,4.88215488215488
"298",2006-01-02,3,5,-121.4319262,38.57630105,298,1455,4.88255033557047
"299",2006-01-02,2,6,-121.4516527,38.60527526,299,1461,4.88628762541806
"300",2006-01-02,3,5,-121.4742082,38.57848338,300,1466,4.88666666666667
"301",2006-01-02,6,5,-121.4657714,38.54102578,301,1471,4.88704318936877
"302",2006-01-02,4,2,-121.532542,38.51348202,302,1473,4.87748344370861
"303",2006-01-02,3,1,-121.491401,38.56382548,303,1474,4.86468646864686
"304",2006-01-02,2,5,-121.4205954,38.60739495,304,1479,4.86513157894737
"305",2006-01-02,3,5,-121.5068273,38.57962095,305,1484,4.8655737704918
"306",2006-01-02,1,7,-121.4935886,38.6089261,306,1491,4.87254901960784
"307",2006-01-02,2,7,-121.4642874,38.62275189,307,1498,4.87947882736156
"308",2006-01-02,1,7,-121.5096441,38.65941872,308,1505,4.88636363636364
"309",2006-01-02,3,4,-121.4839757,38.59530776,309,1509,4.88349514563107
"310",2006-01-02,5,5,-121.4398174,38.47433302,310,1514,4.88387096774194
"311",2006-01-02,5,5,-121.4183343,38.43840598,311,1519,4.88424437299035
"312",2006-01-02,6,8,-121.4558291,38.54454369,312,1527,4.89423076923077
"313",2006-01-02,2,7,-121.4382598,38.59645425,313,1534,4.90095846645367
"314",2006-01-02,6,4,-121.4474575,38.54061027,314,1538,4.89808917197452
"315",2006-01-02,6,4,-121.4095726,38.51007761,315,1542,4.8952380952381
"316",2006-01-02,2,7,-121.4252477,38.60027317,316,1549,4.90189873417722
"317",2006-01-02,2,7,-121.4275537,38.59808509,317,1556,4.90851735015773
"318",2006-01-02,3,3,-121.4839757,38.59530776,318,1559,4.90251572327044
"319",2006-01-02,3,5,-121.4267606,38.55614777,319,1564,4.90282131661442
"320",2006-01-02,2,5,-121.4303283,38.63228581,320,1569,4.903125
"321",2006-01-02,5,5,-121.4180465,38.44973707,321,1574,4.90342679127726
"322",2006-01-02,2,5,-121.423349,38.59664183,322,1579,4.90372670807453
"323",2006-01-02,2,7,-121.4295789,38.63931448,323,1586,4.91021671826625
"324",2006-01-02,6,5,-121.4456482,38.52823386,324,1591,4.91049382716049
"325",2006-01-02,5,2,-121.5014051,38.47602372,325,1593,4.90153846153846
"326",2006-01-02,5,4,-121.4420784,38.45541339,326,1597,4.89877300613497
"327",2006-01-02,3,5,-121.5036968,38.58057689,327,1602,4.89908256880734
